investment_recommendation,reason_summary,data_confidence,red_flag_count,red_flag_reasons,fund_name,manager_name,vintage_year,vintage_age,sub_strategy,geography,irr_max,tvpi_max,dpi_max,irr_quality,tvpi_quality,dpi_quality,has_institutional_match,institutional_fund_name,institutional_trend_score,match_score,fund_id,strategy,lp_count,irr_min,tvpi_min,dpi_min,gross_asset_value_usd,final_close_size_usd,latest_as_of_date,lp_fund_id,lp_fund_name,lp_manager_name,lp_vintage_year,lp_sub_strategy,lp_geography,lp_irr_max,lp_tvpi_max,lp_dpi_max,canonical_fund_id,institutional_vintage_year,institutional_quarter_count,institutional_latest_quarter,institutional_latest_tvpi,institutional_latest_irr,institutional_tvpi_change_total
Needs More Data,Good IRR | Acceptable TVPI | Too early for DPI | No institutional match,Medium,0,,H.I.G. Advantage Buyout II,H.I.G. Capital,2022.0,4.0,growth_equity,latin_america,0.151,1.3,0.1429,Good IRR,Acceptable TVPI,Too early for DPI,False,,,,h-i-g-advantage-buyout-ii,private_equity,1,0.151,1.3,0.1429,1570503260.0,,2025-09-30,,,,,,,,,,,,,,,,
Needs More Data,Missing IRR | Missing TVPI | Strong realized DPI | No institutional match,Medium,0,,"H.I.G. Bayside Debt & LBO Fund II, L.P.",H.I.G. Capital,2008.0,18.0,growth_equity,latin_america,,,1.6437,Missing IRR,Missing TVPI,Strong realized DPI,False,,,,h-i-g-bayside-debt-lbo-fund-ii-lp,private_equity,3,,,1.64369,786375867.0,,2025-03-31,,,,,,,,,,,,,,,,
Watchlist,Acceptable IRR | Acceptable TVPI | Strong realized DPI | No institutional match,Medium,0,,H.I.G. Bayside II,H.I.G. Capital,2008.0,18.0,growth_equity,latin_america,0.136,1.56,1.51938,Acceptable IRR,Acceptable TVPI,Strong realized DPI,False,,,,h-i-g-bayside-ii,private_equity,1,0.136,1.56,1.51938,,,2025-06-30,,,,,,,,,,,,,,,,
Needs More Data,Weak IRR | Missing TVPI | Acceptable realized DPI | No institutional match,Medium,0,,H.I.G. Bayside Loan Fund II,H.I.G. Capital,2010.0,16.0,growth_equity,latin_america,0.071,,1.35414,Weak IRR,Missing TVPI,Acceptable realized DPI,False,,,,h-i-g-bayside-loan-fund-ii,private_equity,1,0.071,,1.35414,,,2025-09-30,,,,,,,,,,,,,,,,
Weak / Avoid,Weak IRR | Weak TVPI | Acceptable realized DPI | No institutional match,Medium,0,,H.I.G. Bayside Loan Fund II PE,H.I.G. Capital,2010.0,16.0,growth_equity,latin_america,0.064,1.29146,1.20685,Weak IRR,Weak TVPI,Acceptable realized DPI,False,,,,h-i-g-bayside-loan-fund-ii-pe,private_equity,1,0.064,1.29146,1.20685,,,2021-06-30,,,,,,,,,,,,,,,,
Weak / Avoid,Weak IRR | Weak TVPI | Acceptable realized DPI | No institutional match,Medium,0,,H.I.G. Bayside Loan Opp Fund III (Europe-Euro),H.I.G. Capital,2013.0,13.0,growth_equity,latin_america,0.063,1.27,1.2788,Weak IRR,Weak TVPI,Acceptable realized DPI,False,,,,h-i-g-bayside-loan-opp-fund-iii-europe-euro,private_equity,1,0.063,1.27,1.2788,104889173.0,,2025-09-30,,,,,,,,,,,,,,,,
Too Early,Acceptable IRR | Good TVPI | Good early DPI | No institutional match,Medium,0,,"H.I.G. Bayside Loan Opportunity Fund IV, L.P.",H.I.G. Capital,,0.0,growth_equity,latin_america,0.0802,1.76179,1.46166,Acceptable IRR,Good TVPI,Good early DPI,False,,,,h-i-g-bayside-loan-opportunity-fund-iv-l-p,private_equity,1,0.0802,1.76179,1.46166,845302123.0,,2025-12-31,,,,,,,,,,,,,,,,
Weak / Avoid,Weak IRR | Weak TVPI | Acceptable realized DPI | No institutional match,Medium,0,,H.I.G. Bayside Loan Ops Fund III (Europe),H.I.G. Capital,2012.0,14.0,growth_equity,latin_america,0.069,1.28858,1.16337,Weak IRR,Weak TVPI,Acceptable realized DPI,False,,,,h-i-g-bayside-loan-ops-fund-iii-europe,private_equity,1,0.069,1.28858,1.16337,,,2025-09-30,,,,,,,,,,,,,,,,
Watchlist,Acceptable IRR | Acceptable TVPI | Acceptable realized DPI | No institutional match,Medium,0,,H.I.G. Bayside Loan Ops Fund III (Europe) PE,H.I.G. Capital,2012.0,14.0,growth_equity,latin_america,0.082,1.3396,1.08743,Acceptable IRR,Acceptable TVPI,Acceptable realized DPI,False,,,,h-i-g-bayside-loan-ops-fund-iii-europe-pe,private_equity,1,0.082,1.3396,1.08743,,,2021-06-30,,,,,,,,,,,,,,,,
Needs More Data,Acceptable IRR | Acceptable TVPI | Low realization | No institutional match,Medium,0,,H.I.G. Brazil & Latin America Partners,H.I.G. Capital,2015.0,11.0,growth_equity,latin_america,0.083,1.4098,0.575972,Acceptable IRR,Acceptable TVPI,Low realization,False,,,,h-i-g-brazil-latin-america-partners,private_equity,2,0.083,1.4098,0.575972,428729055.0,,2025-09-30,,,,,,,,,,,,,,,,
Needs More Data,Excellent IRR | Good TVPI | Very weak realization | No institutional match | Red flags: Old vintage with weak DPI,Medium,1,Old vintage with weak DPI,H.I.G. Brazil & Latin America Partners PE,H.I.G. Capital,2015.0,11.0,growth_equity,latin_america,0.272,1.79962,0.0998377,Excellent IRR,Good TVPI,Very weak realization,False,,,,h-i-g-brazil-latin-america-partners-pe,private_equity,1,0.272,1.79962,0.0998377,428729055.0,,2021-06-30,,,,,,,,,,,,,,,,
Too Early,Weak IRR | Acceptable TVPI | Too early for DPI | No institutional match,Medium,0,,"H.I.G. Capital – TMRS Capella SMA, L.P.",H.I.G. Capital,,0.0,growth_equity,latin_america,0.0748,1.36678,0.207892,Weak IRR,Acceptable TVPI,Too early for DPI,False,,,,h-i-g-capital-tmrs-capella-sma-l-p,private_equity,1,0.0748,1.36678,0.207892,288409512.0,,2025-12-31,,,,,,,,,,,,,,,,
Good Candidate,Excellent IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,H.I.G. Capital Partners IV,H.I.G. Capital,2009.0,17.0,growth_equity,latin_america,0.326,2.21,2.16062,Excellent IRR,Good TVPI,Strong realized DPI,False,,,,h-i-g-capital-partners-iv-l-p,private_equity,2,0.326,2.21,2.16062,77368173.0,,2025-06-30,,,,,,,,,,,,,,,,
